0:2803 4069 2235 521 3414 1665 453 1208
0:888 5690 4689 701 426 845 1395 2159
1:477 28 14 1200 483 27 746 2
1:11567 14 28 477 1200 16045 746 15783
1:2216 5267 3414 17 16045 453 3808 226
0:453 2803 247 2216 3414 4731 755 888
0:1395 426 5690 2914 1922 8028 9597 2448
1:2240 250 1673 5467 1203 767 4518 3591
0:1673 27 767 2300 16318 2944 684 12831
0:5034 3981 615 12571 6347 7763 2350 369
0:888 1919 1948 701 211 1454 2434 1929
0:845 1203 1199 2208 1190 6377 8606 1090
2:13863 13911 16084 3440 14715 14502 15041 14657
0:684 2418 10316 1673 2944 501 1538 12526
3:11571 13911 13863 14657 14988 15041 11701 16084
1:28 8756 12453 477 13883 746 12390 11567
3:11571 2418 418 14657 11701 15041 11264 16084
0:10907 1408 7790 6297 571 14035 3818 13912
0:10632 13301 14782 14505 14607 3088 3199 15064
1:2589 5920 2593 1038 4370 5872 7054 953
0:888 7142 2201 230 10921 1041 504 1919
1:14 28 477 27 1200 2691 10071 483
0:845 1115 1203 837 830 2691 828 1199
0:2240 4649 250 5467 1203 1313 767 1673
0:1104 1203 247 1192 1009 1974 1937 1891
1:830 1115 740 8707 828 838 2691 861
2:13863 14715 14988 13911 13410 14502 15263 15531
0:746 5690 917 12571 1380 1928 1995 2985
0:1090 2164 888 1137 4349 701 1937 1919
2:9103 3981 7545 9966 10605 14177 7922 12842
1:109 1192 293 2240 1395 1179 1104 1987
0:13863 14988 14715 3440 14502 13911 15983 15263
0:281 655 2798 814 430 6971 380 280
0:10635 1190 6729 5108 12516 7133 7156 11571
0:17 2216 2462 5211 3808 6091 226 8955
0:3981 755 9103 7763 17 615 5034 8721
0:14607 16045 6294 3981 4179 12244 7545 15113
0:1181 1665 1891 4689 1209 944 1090 220
0:845 2393 15025 6497 13783 2558 2388 9480
0:2489 2462 7545 3981 9103 11205 3175 14177
3:477 14 28 1200 15 42 6495 6850
0:276 47 1673 42 477 39 14 49
0:1755 1175 1980 2240 3775 2034 1451 1203
0:3981 6294 12571 11158 7545 11328 9966 10983
2:477 14 1200 28 281 1357 380 2798
0:14 5312 1944 1200 477 15 28 6850
0:888 1919 2434 1948 211 1929 701 1454
0:16045 14607 16318 6359 14782 12244 14715 15324
2:921 453 1213 6231 6314 2221 5267 1345
0:746 4983 3981 5034 1928 483 12571 1476
0:971 954 5400 4001 4137 972 2902 4579
0:767 14502 14782 13410 3802 10632 5098 4329
1:446 5842 9234 4622 9426 7857 10245 15267
1:2472 917 4808 2715 2712 7672 12571 3236
2:1451 1755 7790 5912 1175 14035 715 6653
0:1538 14607 4291 16045 12244 6359 3601 4520
0:628 1919 9790 132 7142 1130 3089 755
0:12571 4808 2472 2715 2712 4367 4983 9671
2:3981 7545 5034 615 9103 7763 9164 8160
3:628 655 807 12330 2798 9790 2446 283
0:1395 5690 1922 2914 9597 5265 2448 1722
0:755 1350 2216 709 2462 1398 17 1283
2:2240 1203 1090 1179 4820 3336 9392 666
0:1130 3089 546 1903 1456 1469 2901 4808
0:2235 4069 1665 1213 3187 1208 6218 9210
1:1747 2985 7786 3133 1395 1910 4441 12180
2:1408 1409 568 571 10907 6177 14834 3818
1:2549 521 921 10555 1898 11762 7734 1213
2:16045 15856 62 1500 6721 11264 47 16115
1:1673 3591 5944 4805 5050 2288 3191 4518
0:971 5400 954 4001 4137 972 4579 2902
0:10907 7790 6297 14035 6653 13247 571 1408
0:3981 7545 9103 9966 10605 14177 5034 8158
0:11571 418 14657 14715 13863 14988 14782 13410
0:4069 988 6218 2235 9210 9794 10065 4479
1:5088 2691 1090 1919 1370 546 926 888
0:2489 2901 2798 243 281 2462 1403 430
0:1038 2445 3660 450 2451 2914 135 4780
1:16386 16907 5161 16084 16959 16969 14715 9228
0:5690 1380 1395 1115 7786 746 740 845
0:62 1500 8906 6721 6850 42 43 63
2:16318 15267 14607 16664 2944 672 1673 13911
0:1408 7192 6689 7790 3291 3818 3100 1409
4:1350 1090 5267 755 453 921 709 521
0:3591 4620 5977 5919 4968 6416 6572 4018
1:2240 1213 2221 1203 1175 2211 1755 2224
6:4130 13786 10539 13773 13663 13778 13770 12830
3:16084 14657 14988 14502 13863 15041 11701 14715
0:2914 2445 1395 2240 3660 9631 8224 5282
0:2221 11571 1203 1177 2227 845 418 2240
1:16084 14502 13863 13911 14988 14715 16115 14657
1:5633 27 5630 5624 5631 5620 5634 5617
2:11571 15041 11701 14657 418 11577 15197 13911
2:888 1919 1948 4247 1041 701 10921 4258
0:3591 1673 5944 4968 5919 4805 4620 6063
0:17 14607 226 16 16045 12244 6964 8531
0:2715 12571 1928 4808 2472 2653 3699 1995
2:4069 988 3582 6218 2235 2240 3762 4479
2:1891 1181 4689 1665 9392 1009 1209 944
2:2445 746 2914 12571 917 483 3660 135
1:3981 615 1090 9103 755 8721 8504 3089
1:477 47 14 15 1200 1568 11567 28
4:655 2798 628 281 814 807 283 12330
0:1203 1009 9392 845 2240 1891 1665 1104
0:453 1213 17 27 16 226 521 628
1:17 2216 5211 906 2462 3808 6091 226
0:10039 1767 4109 3181 14734 2914 426 7790
1:5034 276 477 530 14 42 1200 4547
4:14177 9103 10605 3981 12469 9966 7545 11328
1:2240 921 453 1213 1203 2221 1104 521
0:5161 1673 7049 1005 47 9228 9243 128
0:47 11264 50 205 1673 1557 6304 1631
4:655 14 2798 281 477 814 1200 28
0:3981 9103 14177 9966 8504 7545 7763 755
1:1590 11264 47 10608 15 5259 43 8906
1:1115 2691 740 830 838 8707 746 10409
0:2461 1937 17 226 9133 3445 27 2164
0:1395 5690 1922 2914 9597 5265 2448 1722
1:8540 8679 8394 6997 8678 8680 814 17
1:11571 13863 14657 13410 13911 15197 14502 14715
0:11571 1673 418 1631 9432 1648 6432 3629
0:16045 7810 4516 9491 14607 10787 5327 10836
1:3804 2418 937 7790 3812 7192 1199 2146
0:15856 16045 15324 14607 14715 16318 4179 14502
0:2691 10071 1115 2470 8931 1370 639 7421
0:3591 1673 5944 4968 2944 441 4805 5919
0:6127 7786 2505 1430 1903 5854 4808 5034
0:1919 888 2216 701 1948 17 453 3808
0:47 11264 50 205 10608 1568 10469 1500
0:11571 12523 672 845 418 5503 5913 1556
1:3981 755 8721 7170 8504 9103 11091 615
1:43 8906 6850 1500 62 42 6721 1590
1:4516 7810 9491 8410 7169 10170 11248 10671
1:767 1673 4731 4069 988 2240 1200 1192
5:755 3660 709 2445 453 2216 1350 135
0:7672 13194 3699 5690 1395 917 3236 2715
0:2240 2987 7790 16045 6297 1110 4649 6862
1:2216 1090 3414 453 1181 17 628 247
1:13410 15531 14276 14715 2365 13863 15184 15263
1:14782 10632 767 3088 16475 13301 13078 6521
0:13912 10907 13247 4604 14834 15073 8464 10524
0:1673 5161 1005 9228 7049 1557 5270 772
0:11571 5161 418 1005 1648 9432 1673 7049
1:4069 2235 988 2240 6218 9210 10065 1665
2:28 14 27 2411 1200 477 485 15
0:2240 4069 4479 3582 988 1179 1483 1439
1:369 501 1673 12526 1538 10681 14264 11995
0:1181 1898 1213 521 944 1665 3187 1009
0:28 10978 2393 11567 11285 27 15783 11286
0:701 9977 1919 888 1948 2434 211 3885
2:1009 1181 1104 247 1192 1974 1773 1203
0:1944 5312 4620 5977 1712 6416 5919 4968
3:16045 4179 14607 16318 15815 12244 15358 14877
0:7790 937 6297 668 5926 6862 731 571
2:12571 11887 11158 13534 6294 2389 4808 12469
3:230 1987 504 888 5772 172 180 176
1:2240 1104 1192 1203 1175 2211 971 1937
1:1090 1005 7049 5161 5270 666 1891 9228
0:14988 13863 14715 3440 16084 14502 13911 15495
0:14758 7049 1538 3601 14607 6359 16045 3804
0:628 2446 807 6437 9790 12330 3045 5456
5:14782 10632 767 3088 13301 16475 13410 15865
0:28 11567 380 14 746 477 1200 23
1:14607 12244 10681 5120 17 2350 8531 3981
0:4179 16045 14502 14607 15815 15324 16084 16318
1:655 814 281 3981 9966 2798 14177 10605
0:655 628 807 2446 2087 2798 12330 534
1:767 1673 11571 4329 13911 13410 2194 5506
2:3981 7545 615 6347 2350 9103 7922 9164
1:226 755 17 483 28 369 3981 477
4:1181 1755 1090 4689 426 4050 1175 1767
0:888 1919 1948 211 2434 701 1929 7142
1:755 453 521 1345 10555 17 10351 1213
0:971 5400 954 4001 4137 972 4579 2902
0:47 15 1557 1568 11264 50 14 28
1:845 11538 12523 11571 672 2418 1199 1673
0:11264 62 6721 1500 47 63 10608 205
2:1395 2914 1401 69 9597 2355 791 2445
0:888 1948 1919 701 4247 4258 1041 5413
2:1987 230 504 5772 378 172 509 1888
2:3591 4620 5977 5919 6416 4968 4018 446
2:14607 16045 14502 4179 15324 16318 15815 12244
0:3981 6294 9966 10983 9103 10605 12571 14177
0:7810 4516 16045 10787 10836 10170 9491 8477
0:17 16 2462 3175 2489 1062 628 1181
0:672 520 1673 12523 1669 4839 845 2944
6:16045 11567 4179 477 14607 1200 14 28
0:6802 6014 740 2691 10444 2822 6807 1203
2:13786 10539 13773 4130 13663 13778 13770 12830
0:7149 1700 7498 1192 7500 5752 7492 7720
2:628 807 9790 12330 2446 14943 6437 3721
1:11571 11701 15041 14657 418 15197 5437 11577
0:62 14544 6721 16084 11571 2620 1561 5161
0:5855 2393 2558 16318 15025 11300 6497 27
0:3944 971 582 4137 4001 972 5400 3752
3:2445 2914 1395 3660 5282 8952 2768 5001
2:1192 2798 3319 655 1104 814 1974 1090
2:14607 12244 17 10681 8531 16045 4179 6964
2:12244 14607 9026 10681 369 6294 1774 746
0:4808 2712 12571 1903 7786 2715 2653 1928
0:9103 9966 14177 10605 7545 3981 12842 7922
2:1199 1203 845 1005 7049 3804 837 5943
4:628 2446 807 6437 9790 12330 3045 5456
1:921 5267 453 6231 1350 521 3673 1090
0:226 17 483 16 3981 76 882 9463
0:47 11264 50 205 1631 418 10608 15
0:1665 7790 2240 937 3064 9392 1862 3818
1:3981 7786 6127 7672 7545 6294 2985 12180
0:11571 418 9432 1648 8247 3629 11577 11701
0:13912 7436 15073 4604 1508 8643 8635 8788
2:16084 11571 14988 6204 15134 15041 16115 11701
3:3660 2445 135 2914 4780 6393 240 3569
2:11571 418 9432 1673 1648 4329 5503 6789
2:9103 9966 7545 3981 10605 14177 12842 7922
1:28 15 1557 47 14 27 477 9773
1:1673 767 11571 2944 3591 501 4805 5944
0:888 1919 1948 211 2434 701 1929 1454
2:2445 3660 2914 135 4780 240 3569 6393
0:917 369 2472 447 3981 2445 120 12571
2:1673 3591 767 4199 250 5944 4805 4518
0:16045 4179 14607 12244 15113 15815 6359 16318
1:4069 988 6218 2235 4479 2240 9210 9794
0:2489 2462 7545 3981 9103 11205 14177 2794
0:628 2446 655 807 2087 12330 6437 9790
3:3839 12244 1538 1890 9026 6359 14264 6110
0:2914 1395 1401 2445 5690 9025 2489 4808
0:1175 294 2240 1665 1755 1213 1203 2221
1:7049 14758 3804 2418 6041 1005 2583 3601
6:13786 10539 13773 4130 13663 13778 13770 12830
0:4069 2235 988 6218 4479 2240 9210 10065
2:1213 10555 921 521 1345 2549 10351 5267
1:1557 3404 1673 9773 47 50 205 1631
0:281 655 2798 3638 814 6971 280 430
2:5690 1395 4130 2715 4808 1928 369 2653
0:128 772 12082 247 1891 3616 1005 5161
2:1712 11798 1700 11250 10927 2485 13839 11256
2:3981 9103 7545 2489 9966 14177 10605 7922
0:1987 504 230 5772 378 172 762 509
0:2715 7672 3236 3699 13194 4808 1995 4080
0:2914 2445 1395 8952 3660 5001 11921 5282
4:2445 3660 2914 135 6393 2355 4780 335
2:2240 2211 1175 1203 1755 1104 1090 1213
1:5267 921 10605 3981 9103 1090 453 1665
0:5161 7049 1005 9228 5270 3804 9839 14502
0:521 453 1213 2221 2230 1181 3414 4946
0:12571 13534 11887 11158 2389 4421 2472 15071
2:521 17 2216 5211 453 906 3808 5267
3:16045 16318 4179 14607 15358 15324 15856 1761
2:11798 10927 11250 11256 2999 1712 11271 6654
0:247 1090 888 1137 1264 549 701 2164
0:3981 7545 9103 9966 5034 9164 10605 7922
1:5690 1755 2691 2711 6799 1370 5809 5807
2:1137 2159 888 1141 1919 701 4880 5550
0:1090 888 4130 1937 1192 1113 7424 4689
1:1673 3591 4518 2944 5944 684 4805 3191
0:971 954 4579 4137 5400 2589 1038 2878
0:6653 13912 14035 10907 13247 7436 4604 14545
0:746 1380 2985 12571 7786 7672 917 740
0:16045 4516 7810 9491 8410 5327 7169 10170
0:2445 3660 2914 135 4780 450 6393 3569
0:1203 4069 3582 3762 1483 2178 989 5752
4:655 281 2798 814 3638 4572 6971 283
0:446 3591 4620 5919 5977 6416 13055 4968
1:3591 6416 5977 5919 4968 4620 6063 6572
0:746 740 830 2691 1115 7786 2985 838
1:5161 1005 7049 9228 1673 5270 9839 772
0:1203 1213 2221 2240 1456 1665 7812 2224
0:628 1919 807 14943 2087 15097 9790 534
1:845 6028 1980 4298 1755 1903 6080 3285
5:28 477 14 1200 27 11567 15 6495
1:28 746 27 14 477 483 2411 1200
1:11571 11701 16084 14657 15041 1619 11577 16105
0:2489 2462 477 3981 14 7545 28 2794
2:5963 4516 8410 16045 1192 7169 9491 9701
5:477 14 28 1200 27 2411 2 15
0:13912 4604 15073 7436 14035 1508 13247 11221
0:755 3981 8721 709 549 3120 1398 615
3:7545 9103 3981 9966 10605 9164 14177 7922
0:628 807 9790 12330 2446 13028 6437 3721
0:5966 1538 1590 3601 2146 13827 7049 4520
1:845 1190 1199 11571 11538 10635 9914 12523
0:10681 12244 4179 6393 9026 14674 16885 14
2:1903 7786 1115 830 740 1910 843 746
0:971 954 5400 4137 4001 972 4579 953
0:13534 7545 3981 11158 12469 13218 6294 10605
2:16045 14607 4179 15358 12244 16318 4367 369
0:7790 1862 6297 14035 1408 6653 10907 571
0:7763 3981 11567 28 5034 7545 10351 8158
2:10978 11285 2393 11286 8546 13284 11549 3244
7:13410 13863 767 13911 13043 14276 14715 15184
1:17 2216 453 755 226 3414 3808 1937
0:1261 369 5120 1117 7672 12571 2350 2472
5:2914 2445 1395 3660 2355 6393 4780 135
2:4179 16045 276 6359 9133 1673 7025 15267
2:28 1200 27 14 2411 2 1400 15
1:446 9426 5842 4622 9234 2144 10245 6474
2:17 226 2216 453 3808 16 755 281
0:14 16388 2240 28 2211 1665 477 11567
0:12571 12453 14808 3981 11939 14607 7545 13279
1:1987 230 504 5772 172 378 509 762
0:1009 1113 1090 1181 1974 9392 2211 1180
5:10632 13078 14782 13301 3088 767 6521 14449
0:14607 16045 11567 628 9790 15324 4179 807
0:5690 1395 2712 4808 2445 2715 1380 917
0:1673 684 11571 418 767 672 47 2944
2:3591 1673 4620 5919 5977 4968 6416 446
0:1937 2164 4958 1090 4581 5820 6314 1192
4:628 807 9790 12330 13028 2446 3721 4924
1:3414 5267 10555 2549 561 1345 10351 11762
0:845 1203 837 830 1009 1161 829 828
1:2489 2462 3981 243 2794 3175 7545 11203
0:43 1590 5259 8906 926 1568 5088 6850
2:845 1199 11538 1203 9914 3440 1191 6729
2:971 4001 5400 4137 972 954 3752 8331
5:5633 5630 5631 5624 5620 5634 5623 5616
1:628 807 655 2446 9790 12330 534 6437
0:655 281 2798 814 6971 4572 430 267
2:888 1919 2018 1395 1090 791 2434 5690
0:3591 5977 6416 4620 4968 5919 6063 6572
4:3981 2489 2462 335 3175 2794 7545 243
0:3616 43 11711 1568 13025 772 10085 5696
2:7192 937 7790 6689 11588 10907 6297 1408
4:1987 230 504 5772 378 172 509 762
0:12833 16084 16115 1500 27 28 6721 14988
0:666 1203 9392 1213 2240 1208 1665 1891
0:755 709 8721 1090 7170 3673 1398 1350
0:1665 1208 9392 2240 2235 2928 4689 1891
0:1538 12526 1398 709 1537 755 549 1350
1:4069 988 6218 2235 4479 9210 9794 4326
2:1987 7142 5772 8177 628 400 380 504
0:1700 1944 1712 5312 6850 1192 5259 7947
1:1203 1192 2240 1104 2235 4069 3582 3762
0:2445 1395 2914 791 5282 8952 9631 3007
1:7049 5270 9914 14092 10608 5161 1005 1590
0:281 2798 3638 655 4572 814 430 6971
0:1398 43 1590 1538 7049 1568 47 14092
0:1203 7786 1430 4808 3091 1130 830 740
0:3944 971 582 4137 4001 972 5400 3752
0:16045 4179 16318 15358 7134 845 16666 1190
0:10978 11285 2393 11286 8546 13284 11549 3244
0:13912 4604 15073 14035 7436 7790 16045 3064
7:14782 10632 13301 3088 16475 6521 5098 13078
0:1203 845 2240 1199 837 1192 1104 1974
2:971 954 5400 4137 4001 972 4579 2902
0:17 453 2216 3414 5267 3808 521 226
0:4516 1192 7947 7169 9491 11248 8410 12464
1:7049 1005 5161 5270 9228 9839 3804 1090
0:7790 2240 1177 3291 937 1408 6297 14
0:13863 13410 13911 14715 15263 13043 14276 15309
0:3981 28 14 7545 483 27 477 400
1:1919 1395 7786 1747 4808 6127 1903 917
0:13534 3981 4808 10681 2712 12571 369 11328
2:9966 9103 3981 7545 10605 14177 8158 12842
0:767 1673 4329 14782 3802 10632 2194 250
0:11571 15041 11701 14657 16084 11577 13911 16105
0:16045 10909 12571 11939 8081 13279 2715 1277
0:13786 10539 13773 4130 13663 13778 13770 12830
0:1137 2159 1141 2164 1937 479 6858 701
1:10978 11285 13284 11286 8546 11549 4369 13992
0:767 1673 250 4329 14782 10632 1005 3088
0:4649 1313 5510 5485 1301 1335 761 1308
0:845 2393 10978 9480 15025 5021 6497 2558
1:477 655 14 281 2798 1200 814 380
2:1665 1213 1208 2240 9392 1891 944 2235
2:12571 7672 2472 1261 4808 2715 369 3236
0:767 1673 14782 4329 10632 16475 3802 2944
2:13912 15073 14035 4604 13247 7436 10907 8464
2:2261 7763 13534 4421 7053 1117 5966 10351
2:2462 2489 135 2216 3660 3981 17 755
0:521 4689 1209 1665 1208 1891 2230 4946
0:3981 7545 7763 14607 9103 11216 7922 6294
1:628 9790 2221 807 29 4069 12330 1213
0:1203 2240 666 1213 767 2221 2224 1199
1:4179 14607 12244 16045 11571 15815 16084 14502
8:13786 10539 13773 4130 13663 13778 13770 12830
0:5772 628 5175 8177 1987 230 1041 7142
0:845 2393 2388 6553 1203 1223 2691 6497
0:1673 1005 3629 250 11571 767 1634 4649
0:1203 1755 1219 1192 3520 2377 2235 1937
0:1673 4518 16045 2944 16115 684 14988 16084
0:1137 2159 1141 701 230 479 4743 6858
4:1213 1203 2240 2221 921 1665 1104 521
0:755 709 8721 1398 549 773 125 1090
0:1673 11571 47 3629 418 1005 205 6304
1:16045 4179 16084 16386 14715 14607 15856 15324
2:2914 2445 3660 6393 1395 4780 240 2768
1:28 14 477 1200 11567 27 2 15
0:2087 655 2164 1944 2798 281 4687 1937
0:5267 921 453 521 3414 2216 3808 2462
3:1395 5690 1922 2711 5738 426 5809 2715
0:845 6028 3760 3739 3285 3757 4298 4109
0:845 1673 767 62 12523 7582 4191 2620
0:2355 9631 69 1778 2914 7172 2445 2546
0:655 2798 814 281 283 628 430 807
0:16045 520 4179 5814 1104 2221 14607 5805
1:3981 483 5034 4983 12571 28 615 6541
1:3981 2489 2914 9103 7545 1456 2445 2462
1:755 8721 2462 709 1398 2489 1350 3120
1:1115 2691 740 838 830 2470 7421 10071
0:4604 13912 989 14035 15073 5752 7436 7790
2:2472 2715 12571 4367 483 4983 3236 369
0:477 14 1200 28 15 2 1955 27
0:1090 709 755 5267 1350 1937 453 549
0:1408 10907 3291 13442 1409 6297 571 7790
0:2240 11567 1203 1179 16045 1192 1974 7147
4:2462 2489 243 3981 4281 3175 7545 3782
0:628 9790 807 12330 655 2446 3721 3981
2:13912 4604 15073 7436 14035 1508 13247 11221
3:2462 2489 243 477 239 226 2794 28
0:971 954 5400 4001 4137 972 4579 2902
0:12571 2715 882 2472 881 3113 12055 2653
0:1987 5772 504 230 8177 180 5175 172
2:4069 988 1277 6218 2691 4479 3582 1483
0:740 2691 1115 830 7786 838 7394 746
0:7192 937 7790 6689 1062 8987 6297 1408
0:1408 1409 10907 571 3291 568 6177 3818
0:8906 47 43 42 5259 1500 1590 6850
2:2914 1090 9392 3660 2445 4780 135 2240
0:10978 9157 6214 8771 2393 11567 2691 11285
2:3591 446 4620 5919 1673 4968 5977 2144
0:888 701 1948 1919 2159 1454 211 1041
2:14782 10632 767 3088 16475 13301 13078 6521
0:1203 1199 2240 1005 3616 677 47 50
0:628 9790 755 5546 549 709 132 1398
0:1987 5772 230 504 5175 1937 509 3478
2:888 1919 1948 211 2434 701 1929 1134
1:4179 16045 5161 15324 7049 14607 15856 1005
0:62 8906 6850 1500 42 6721 2620 63
0:1673 767 684 2944 3591 4805 501 672
1:16084 11571 16105 14657 15041 14544 11163 1192
2:1747 3699 1910 1903 4080 2480 3612 2742
1:11798 10927 11250 11256 2999 11271 1712 6654
1:4689 9392 1665 1891 1208 1209 9133 666
0:740 746 830 3091 2691 7786 1115 1903
2:14 28 1200 477 2 15 6495 27
0:1903 3091 4808 2712 1767 2923 1451 1910
1:17 2216 2462 5211 3981 2489 521 3808
0:43 276 47 42 62 1568 8906 1590
2:11571 14657 15041 11701 13863 13911 16084 14988
0:2691 6014 1370 5088 14 1115 2470 10071
0:1891 1181 9392 1665 4689 1209 1009 944
0:12453 628 16045 28 8756 11567 477 6437
2:888 1590 5259 1931 43 8906 107 1700
5:2489 3981 2462 9103 243 7545 2794 17
0:1755 5088 1090 861 3293 2087 6014 4687
0:1937 628 5175 807 9790 5772 1987 3033
1:628 9790 807 12330 655 3721 2446 14943
0:6416 5977 3591 4620 5919 4968 6572 1712
2:27 28 2462 2411 2489 477 14 483
0:13912 14035 4604 10907 7436 15073 13247 11221
3:888 2914 1395 755 1456 2434 2445 6393
1:2445 2914 3660 1395 4780 6393 240 5001
0:1538 3601 1704 6359 1537 4586 4527 2146
0:7790 6297 571 5926 937 731 6862 14035
0:971 4137 4001 5400 2878 954 972 3752
0:2462 2489 755 3981 17 8721 2759 243
4:47 11264 1500 62 6721 50 43 8906
0:4604 13912 13247 7790 10907 14715 3818 14035
1:14782 767 10632 3088 16475 13301 13078 15865
1:247 1009 1090 1181 1104 4689 1891 772
0:628 9790 807 14035 6653 921 7790 3271
0:1090 2240 1181 1009 9392 1974 2596 1665
3:13786 10539 13773 13663 4130 13778 13770 12830
5:746 28 483 477 226 1200 14 5034
1:1673 767 2944 684 3591 5608 250 5944
